x,P_total_coherent,P_dephased_baseline
-17.294117647058826,0.0014592346300303558,0.002207957364604969
-17.058823529411764,0.0015186558825040298,0.002401932707747615
-16.823529411764707,0.0015621475593182296,0.0026094180913451876
-16.588235294117645,0.001583743282348285,0.0028324075022243544
-16.352941176470587,0.0015824508123368224,0.003070268460541964
-16.11764705882353,0.0015591562502054147,0.003325309036292842
-15.882352941176471,0.0015112288985618142,0.003596554097911699
-15.647058823529411,0.0014450341092109103,0.0038867693155120926
-15.411764705882353,0.0013594459158601804,0.004194473169275635
-15.176470588235293,0.0012655343175177435,0.004522949522687653
-14.941176470588236,0.00116603665879922,0.004870273988889886
-14.705882352941178,0.001076379716180931,0.0052399462879690745
-14.470588235294118,0.001004751597488016,0.005630117787590365
-14.23529411764706,0.0009705026240788815,0.006043697016687324
-14.0,0.0009882678633433982,0.006479913179674226
-13.764705882352942,0.0010802654450513477,0.006939875181376733
-13.529411764705884,0.001268058122590175,0.00742513644911705
-13.294117647058822,0.0015748019018833482,0.007933762039526148
-13.058823529411764,0.002028731974696088,0.008470654825803238
-12.823529411764707,0.002651348787067366,0.009030082886925288
-12.588235294117649,0.00347605035515555,0.009620566216166151
-12.352941176470587,0.004520047110986384,0.010232804381147643
-12.117647058823529,0.005818546897145742,0.010878059273017158
-11.882352941176471,0.007382555248906193,0.011544902160138393
-11.647058823529413,0.009243614852421277,0.012245286061756532
-11.411764705882351,0.01140584930267676,0.01296812005167263
-11.176470588235293,0.013889935360527675,0.013723231218914934
-10.941176470588236,0.016693648538029716,0.014502748341681788
-10.705882352941178,0.019819096290547428,0.015311560894866025
-10.47058823529412,0.02325882134107251,0.016147445568409368
-10.235294117647058,0.026990018289728523,0.01700844339422196
-10.0,0.03100071556518003,0.017899116597332107
-9.764705882352942,0.03524019782164085,0.018810348692506376
-9.529411764705884,0.039691456148001805,0.019752843680708832
-9.294117647058822,0.04427764948880267,0.020711850037174566
-9.058823529411764,0.04897475816425183,0.02170185346815894
-8.823529411764707,0.05368668976735358,0.022705460817511104
-8.588235294117649,0.05837969202620158,0.02373749761209716
-8.352941176470587,0.06294934469947398,0.024781539053664797
-8.117647058823529,0.06735018157085185,0.02584923044636375
-7.882352941176471,0.07148228503929016,0.026928279796819637
